Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1021,2022-07-11,2022-07-17,Second Class,Home Office,Southeast,Furniture,Tables,497.4,1,0.4,-60.97
ORD-1022,2022-10-04,2022-10-05,Second Class,Consumer,Midwest,Furniture,Phones,116.88,7,0.0,54.82
ORD-1023,2022-06-10,2022-06-15,First Class,Corporate,West,Technology,Paper,143.89,6,0.1,17.94
ORD-1024,2022-11-10,2022-11-16,Standard Class,Home Office,Midwest,Furniture,Tables,74.5,2,0.2,7.52
ORD-1025,2022-01-22,2022-01-26,Standard Class,Consumer,South,Technology,Chairs,460.42,2,0.1,84.06
ORD-1026,2022-09-10,2022-09-14,Second Class,Consumer,Southeast,Technology,Chairs,393.35,7,0.3,2.97
ORD-1027,2022-08-24,2022-08-26,Standard Class,Consumer,Southeast,Technology,Paper,414.72,1,0.2,28.73
ORD-1028,2022-12-11,2022-12-17,Standard Class,Home Office,Southeast,Office Supplies,Paper,453.33,2,0.2,53.74
ORD-1029,2022-02-18,2022-02-23,Second Class,Home Office,West,Office Supplies,Accessories,271.95,8,0.3,20.36
ORD-1030,2022-02-28,2022-03-03,Second Class,Corporate,West,Furniture,Binders,236.57,6,0.4,-32.05
ORD-1031,2022-06-19,2022-06-20,Same Day,Home Office,Southeast,Technology,Tables,178.59,2,0.2,30.03
ORD-1032,2022-07-07,2022-07-09,Standard Class,Home Office,Midwest,Office Supplies,Paper,302.82,7,0.1,56.75
ORD-1033,2022-09-28,2022-10-02,First Class,Consumer,Southeast,Office Supplies,Binders,238.05,4,0.0,86.47
ORD-1034,2022-07-09,2022-07-12,Second Class,Corporate,Midwest,Office Supplies,Accessories,236.75,2,0.1,69.23
ORD-1035,2022-06-24,2022-06-27,Same Day,Home Office,Midwest,Office Supplies,Binders,469.73,6,0.4,-49.31
ORD-1036,2022-02-20,2022-02-21,First Class,Home Office,West,Office Supplies,Paper,492.34,9,0.0,132.5
ORD-1037,2022-12-30,2023-01-05,Standard Class,Consumer,Midwest,Technology,Chairs,402.31,9,0.1,89.94
ORD-1038,2022-02-24,2022-02-28,Same Day,Consumer,Southeast,Technology,Tables,383.24,8,0.1,78.89
ORD-1039,2022-09-01,2022-09-06,Second Class,Home Office,West,Technology,Tables,346.67,3,0.3,5.02
ORD-1040,2022-11-16,2022-11-19,First Class,Corporate,South,Technology,Chairs,99.72,3,0.4,-13.37
ORD-1041,2022-05-11,2022-05-12,Second Class,Corporate,South,Furniture,Paper,48.37,2,0.3,-8.84
ORD-1042,2022-11-03,2022-11-08,Standard Class,Consumer,West,Technology,Tables,351.55,5,0.0,117.07
ORD-1043,2022-05-15,2022-05-21,First Class,Consumer,Southeast,Office Supplies,Paper,369.82,4,0.3,3.2
ORD-1044,2022-01-21,2022-01-25,Standard Class,Home Office,South,Technology,Accessories,42.55,7,0.4,-18.69
ORD-1045,2022-11-25,2022-12-01,Standard Class,Consumer,South,Furniture,Paper,465.46,4,0.2,53.41
ORD-1046,2022-06-16,2022-06-19,Same Day,Home Office,Midwest,Office Supplies,Binders,63.75,9,0.2,11.24
ORD-1047,2022-10-01,2022-10-06,Second Class,Corporate,Midwest,Technology,Chairs,157.23,2,0.0,43.92
ORD-1048,2022-03-30,2022-04-04,First Class,Corporate,Southeast,Technology,Paper,342.75,6,0.2,50.47
ORD-1049,2022-11-12,2022-11-17,Standard Class,Home Office,West,Technology,Accessories,101.54,7,0.3,-6.18
ORD-1050,2022-01-14,2022-01-17,Standard Class,Consumer,Southeast,Office Supplies,Phones,46.6,4,0.0,12.29
ORD-1051,2022-08-30,2022-09-02,First Class,Corporate,West,Office Supplies,Chairs,178.95,6,0.4,-10.21
ORD-1052,2022-09-22,2022-09-28,Standard Class,Consumer,South,Furniture,Tables,387.67,7,0.0,117.07
ORD-1053,2022-12-12,2022-12-14,Same Day,Corporate,Midwest,Office Supplies,Binders,218.57,4,0.0,51.73
ORD-1054,2022-02-22,2022-02-28,Same Day,Home Office,Southeast,Office Supplies,Tables,333.43,8,0.1,68.52
ORD-1055,2022-12-06,2022-12-10,Same Day,Home Office,Southeast,Technology,Accessories,298.22,9,0.1,55.5
ORD-1056,2022-04-02,2022-04-03,Same Day,Home Office,West,Office Supplies,Accessories,30.66,1,0.0,17.77
ORD-1057,2022-09-21,2022-09-26,Standard Class,Corporate,West,Technology,Tables,494.5,7,0.2,50.96
ORD-1058,2022-02-04,2022-02-06,First Class,Consumer,Southeast,Technology,Chairs,39.89,9,0.1,8.92
ORD-1059,2022-07-25,2022-07-26,First Class,Consumer,West,Office Supplies,Tables,484.55,5,0.4,-58.94
ORD-1060,2022-03-22,2022-03-24,First Class,Consumer,Southeast,Furniture,Paper,283.93,2,0.3,-2.3
ORD-1061,2022-02-19,2022-02-25,First Class,Corporate,Southeast,Furniture,Tables,482.32,6,0.1,106.17
ORD-1062,2022-12-26,2022-12-29,Second Class,Corporate,Southeast,Office Supplies,Binders,75.08,7,0.0,14.76
ORD-1063,2022-01-02,2022-01-07,First Class,Corporate,South,Furniture,Binders,255.4,2,0.2,25.21
ORD-1064,2022-02-23,2022-03-01,Second Class,Corporate,West,Technology,Phones,101.36,2,0.3,-9.36
ORD-1065,2022-04-16,2022-04-17,Second Class,Corporate,Midwest,Technology,Binders,44.47,1,0.1,-2.94
ORD-1066,2022-09-17,2022-09-18,Same Day,Consumer,Midwest,Office Supplies,Tables,316.41,4,0.2,30.79
ORD-1067,2022-11-06,2022-11-07,Second Class,Corporate,West,Furniture,Binders,119.74,7,0.2,13.71
ORD-1068,2022-07-10,2022-07-11,Standard Class,Corporate,Southeast,Furniture,Chairs,302.09,9,0.2,50.15
ORD-1069,2022-08-06,2022-08-07,Second Class,Consumer,Midwest,Technology,Binders,73.93,3,0.0,17.62
ORD-1070,2022-02-13,2022-02-15,Same Day,Corporate,Midwest,Office Supplies,Paper,179.35,7,0.4,-18.44
ORD-1071,2022-06-11,2022-06-17,Second Class,Consumer,West,Furniture,Chairs,395.18,7,0.2,27.02
ORD-1072,2022-07-21,2022-07-26,Standard Class,Consumer,Midwest,Office Supplies,Phones,229.78,7,0.3,6.12
ORD-1073,2022-09-27,2022-09-30,Standard Class,Home Office,Southeast,Furniture,Paper,321.32,2,0.1,68.24
ORD-1074,2022-12-17,2022-12-20,Standard Class,Home Office,West,Technology,Tables,330.78,6,0.3,14.88
ORD-1075,2022-10-31,2022-11-06,Same Day,Home Office,Southeast,Technology,Tables,425.0,2,0.0,138.62
ORD-1076,2022-09-28,2022-10-04,Same Day,Home Office,Midwest,Office Supplies,Tables,175.96,6,0.0,56.3
ORD-1077,2022-08-03,2022-08-06,First Class,Corporate,Midwest,Technology,Paper,349.9,3,0.3,-4.7
ORD-1078,2022-09-09,2022-09-12,Same Day,Home Office,Southeast,Furniture,Paper,481.58,2,0.4,-46.11
ORD-1079,2022-07-09,2022-07-11,Standard Class,Consumer,South,Technology,Paper,370.52,6,0.0,110.05
ORD-1080,2022-10-23,2022-10-27,Standard Class,Corporate,Midwest,Office Supplies,Chairs,255.14,2,0.0,86.08
ORD-1081,2022-08-01,2022-08-06,Same Day,Home Office,South,Office Supplies,Accessories,322.74,5,0.3,8.26
ORD-1082,2022-07-27,2022-07-28,Second Class,Consumer,Midwest,Office Supplies,Chairs,375.05,2,0.0,109.55
ORD-1083,2022-08-25,2022-08-29,Same Day,Corporate,South,Furniture,Tables,313.89,3,0.4,-46.01
ORD-1084,2022-12-04,2022-12-10,Same Day,Corporate,South,Furniture,Accessories,28.0,3,0.4,10.53
ORD-1085,2022-02-22,2022-02-25,Standard Class,Home Office,South,Furniture,Binders,113.49,6,0.4,-5.53
ORD-1086,2022-10-07,2022-10-11,First Class,Corporate,Southeast,Furniture,Tables,409.02,6,0.1,78.61
ORD-1087,2022-08-05,2022-08-10,Standard Class,Consumer,South,Furniture,Phones,150.87,3,0.4,-9.66
ORD-1088,2022-09-09,2022-09-15,First Class,Corporate,South,Technology,Chairs,371.15,3,0.4,-36.37
ORD-1089,2022-07-07,2022-07-08,Standard Class,Consumer,South,Furniture,Paper,198.62,1,0.1,52.91
ORD-1090,2022-02-10,2022-02-11,Same Day,Corporate,Midwest,Furniture,Chairs,270.5,7,0.2,7.75
ORD-1091,2022-06-06,2022-06-11,Standard Class,Home Office,South,Technology,Paper,52.63,8,0.0,11.82
ORD-1092,2022-01-15,2022-01-20,Standard Class,Consumer,Midwest,Furniture,Accessories,106.99,2,0.4,5.29
ORD-1093,2022-10-28,2022-10-31,Standard Class,Corporate,South,Office Supplies,Phones,479.45,4,0.0,149.47
ORD-1094,2022-03-06,2022-03-07,Same Day,Corporate,South,Furniture,Accessories,447.27,7,0.3,17.73
ORD-1095,2022-12-11,2022-12-17,Same Day,Corporate,Southeast,Furniture,Phones,333.09,8,0.0,87.71
ORD-1096,2022-11-23,2022-11-27,Same Day,Consumer,Midwest,Office Supplies,Chairs,240.63,1,0.1,58.85
ORD-1097,2022-01-09,2022-01-15,Same Day,Consumer,South,Office Supplies,Paper,344.37,4,0.0,113.43
ORD-1098,2022-12-10,2022-12-12,First Class,Consumer,Midwest,Office Supplies,Accessories,316.93,6,0.0,78.26
ORD-1099,2022-05-09,2022-05-11,First Class,Home Office,Midwest,Office Supplies,Phones,292.91,3,0.0,84.92
ORD-1100,2022-05-16,2022-05-21,Second Class,Home Office,West,Furniture,Tables,48.4,5,0.2,3.77
ORD-1101,2022-03-04,2022-03-07,Same Day,Consumer,Southeast,Office Supplies,Tables,323.75,9,0.2,16.18
ORD-1102,2022-05-19,2022-05-21,First Class,Corporate,Southeast,Office Supplies,Accessories,389.08,3,0.3,-2.75
ORD-1103,2022-03-22,2022-03-23,Standard Class,Home Office,Southeast,Technology,Paper,497.16,5,0.1,108.16
ORD-1104,2022-06-12,2022-06-18,Same Day,Consumer,West,Office Supplies,Accessories,25.32,8,0.0,3.69
ORD-1105,2022-10-16,2022-10-22,Second Class,Corporate,West,Office Supplies,Chairs,370.48,6,0.0,113.57
ORD-1106,2022-09-18,2022-09-23,Second Class,Home Office,Southeast,Technology,Phones,294.46,4,0.0,90.83
ORD-1107,2022-08-19,2022-08-23,Second Class,Corporate,West,Technology,Chairs,228.35,8,0.0,68.38
ORD-1108,2022-02-10,2022-02-15,Standard Class,Corporate,West,Furniture,Tables,81.23,3,0.2,1.07
ORD-1109,2022-01-28,2022-02-01,First Class,Corporate,West,Technology,Phones,216.36,3,0.3,6.59
ORD-1110,2022-05-15,2022-05-20,Standard Class,Corporate,Southeast,Furniture,Accessories,190.1,4,0.4,-34.88
ORD-1111,2022-07-20,2022-07-25,Same Day,Home Office,Southeast,Technology,Chairs,165.36,9,0.1,33.16
ORD-1112,2022-11-24,2022-11-29,Second Class,Home Office,Southeast,Technology,Binders,370.82,5,0.0,125.1
ORD-1113,2022-09-25,2022-09-29,Standard Class,Home Office,West,Furniture,Paper,356.35,8,0.3,-4.47
ORD-1114,2022-02-02,2022-02-06,Standard Class,Consumer,Southeast,Technology,Paper,302.73,6,0.4,-37.55
ORD-1115,2022-02-17,2022-02-22,First Class,Home Office,West,Furniture,Binders,470.56,3,0.3,7.26
ORD-1116,2022-03-03,2022-03-05,First Class,Corporate,South,Technology,Tables,187.93,8,0.2,20.43
ORD-1117,2022-08-04,2022-08-07,Second Class,Home Office,West,Office Supplies,Phones,137.02,9,0.4,-6.25
ORD-1118,2022-10-20,2022-10-23,Standard Class,Corporate,Midwest,Technology,Paper,334.83,8,0.3,0.38
ORD-1119,2022-04-09,2022-04-12,Standard Class,Consumer,Southeast,Furniture,Binders,115.43,4,0.2,-12.34
ORD-1120,2022-06-21,2022-06-25,First Class,Corporate,Southeast,Technology,Accessories,171.21,6,0.3,11.8
ORD-1121,2022-12-26,2022-12-30,Standard Class,Corporate,Midwest,Furniture,Binders,127.81,1,0.3,20.7
ORD-1122,2022-08-02,2022-08-04,Standard Class,Corporate,West,Furniture,Tables,53.19,4,0.4,7.52
ORD-1123,2022-02-04,2022-02-07,Standard Class,Consumer,South,Office Supplies,Tables,417.2,8,0.2,6.33
ORD-1124,2022-08-15,2022-08-18,First Class,Home Office,Midwest,Office Supplies,Chairs,142.18,1,0.0,47.16
ORD-1125,2022-04-11,2022-04-16,Second Class,Home Office,Midwest,Furniture,Paper,247.05,3,0.1,44.74
ORD-1126,2022-05-11,2022-05-15,Same Day,Consumer,West,Technology,Chairs,40.79,1,0.4,-14.92
ORD-1127,2022-09-14,2022-09-17,Second Class,Corporate,Southeast,Furniture,Binders,355.68,9,0.2,36.8
ORD-1128,2022-01-05,2022-01-11,Same Day,Home Office,West,Furniture,Phones,178.67,2,0.3,-1.49
ORD-1129,2022-08-06,2022-08-08,Standard Class,Consumer,Midwest,Technology,Phones,377.47,9,0.2,42.83
ORD-1130,2022-09-12,2022-09-18,Second Class,Home Office,Midwest,Technology,Tables,217.95,4,0.1,44.16
ORD-1131,2022-12-25,2022-12-31,Same Day,Consumer,Southeast,Technology,Phones,113.96,2,0.1,11.58
ORD-1132,2022-10-10,2022-10-12,First Class,Corporate,Southeast,Technology,Phones,266.32,4,0.0,74.13
ORD-1133,2022-07-26,2022-08-01,First Class,Home Office,Southeast,Furniture,Phones,82.64,6,0.0,17.41
ORD-1134,2022-01-15,2022-01-18,Second Class,Consumer,West,Furniture,Binders,231.46,7,0.1,29.13
ORD-1135,2022-12-12,2022-12-16,Second Class,Home Office,Southeast,Office Supplies,Phones,172.31,3,0.4,-30.95
ORD-1136,2022-02-11,2022-02-13,Standard Class,Home Office,Midwest,Furniture,Accessories,457.74,3,0.4,-47.88
ORD-1137,2022-06-28,2022-07-03,Second Class,Home Office,Midwest,Technology,Phones,49.25,8,0.3,14.24
ORD-1138,2022-03-04,2022-03-10,Standard Class,Home Office,South,Office Supplies,Phones,353.13,5,0.0,100.58
ORD-1139,2022-12-18,2022-12-20,Standard Class,Consumer,West,Technology,Chairs,107.72,4,0.3,-7.57
ORD-1140,2022-08-19,2022-08-20,First Class,Corporate,South,Furniture,Binders,173.14,7,0.0,40.13
ORD-1141,2022-08-29,2022-08-30,First Class,Consumer,Midwest,Office Supplies,Tables,219.45,7,0.1,44.2
ORD-1142,2022-02-21,2022-02-25,Same Day,Consumer,South,Technology,Chairs,455.85,9,0.4,-33.79
ORD-1143,2022-04-06,2022-04-09,First Class,Consumer,Midwest,Office Supplies,Paper,136.44,9,0.4,6.38
ORD-1144,2022-08-10,2022-08-14,First Class,Corporate,South,Office Supplies,Binders,63.83,5,0.1,15.62
ORD-1145,2022-08-19,2022-08-23,Second Class,Home Office,Southeast,Furniture,Accessories,172.97,8,0.3,1.4
ORD-1146,2022-08-25,2022-08-29,First Class,Home Office,South,Technology,Binders,70.24,1,0.3,-5.43
ORD-1147,2022-05-23,2022-05-27,Same Day,Home Office,Southeast,Office Supplies,Paper,81.73,9,0.2,4.41
ORD-1148,2022-06-20,2022-06-25,Second Class,Corporate,Southeast,Office Supplies,Paper,295.45,8,0.0,94.93
ORD-1149,2022-01-29,2022-02-03,Same Day,Home Office,West,Technology,Paper,49.23,6,0.3,-3.15
ORD-1150,2022-02-05,2022-02-07,First Class,Corporate,Southeast,Office Supplies,Tables,34.85,3,0.1,5.35
ORD-1151,2022-01-13,2022-01-14,Same Day,Home Office,Southeast,Office Supplies,Phones,362.92,3,0.3,-0.25
ORD-1152,2022-06-09,2022-06-13,Second Class,Home Office,South,Office Supplies,Binders,193.59,8,0.4,-25.27
ORD-1153,2022-11-23,2022-11-25,Standard Class,Consumer,Midwest,Technology,Phones,80.18,5,0.0,23.3
ORD-1154,2022-07-06,2022-07-07,Same Day,Corporate,West,Technology,Phones,141.73,7,0.2,-6.02
ORD-1155,2022-08-31,2022-09-06,Same Day,Consumer,Southeast,Technology,Accessories,328.2,5,0.0,103.95
ORD-1156,2022-03-27,2022-03-30,Second Class,Consumer,West,Technology,Paper,152.26,8,0.4,8.29
ORD-1157,2022-10-11,2022-10-16,Second Class,Consumer,South,Furniture,Tables,257.37,4,0.4,-31.26
ORD-1158,2022-03-07,2022-03-13,Same Day,Corporate,Southeast,Office Supplies,Accessories,78.41,2,0.4,-4.1
ORD-1159,2022-06-19,2022-06-20,First Class,Corporate,South,Technology,Chairs,302.28,3,0.4,-21.71
ORD-1160,2022-02-14,2022-02-20,Same Day,Home Office,West,Office Supplies,Tables,171.72,8,0.1,47.15
ORD-1161,2022-03-03,2022-03-06,Second Class,Consumer,South,Office Supplies,Phones,320.94,7,0.2,29.45
ORD-1162,2022-05-14,2022-05-15,Standard Class,Home Office,West,Furniture,Tables,408.03,2,0.4,-58.84
ORD-1163,2022-10-11,2022-10-17,Standard Class,Consumer,South,Technology,Paper,313.59,6,0.4,-28.69
ORD-1164,2022-01-28,2022-02-02,First Class,Corporate,West,Technology,Chairs,161.96,9,0.3,1.29
ORD-1165,2022-04-18,2022-04-23,Same Day,Corporate,Midwest,Office Supplies,Paper,142.76,4,0.2,10.82
ORD-1166,2022-02-13,2022-02-15,Standard Class,Corporate,South,Technology,Chairs,177.16,9,0.0,51.81
ORD-1167,2022-12-06,2022-12-12,Same Day,Consumer,South,Office Supplies,Accessories,99.02,2,0.2,11.34
ORD-1168,2022-10-13,2022-10-17,Second Class,Corporate,Midwest,Office Supplies,Phones,106.96,2,0.2,14.31
ORD-1169,2022-11-27,2022-12-03,Standard Class,Consumer,Midwest,Furniture,Chairs,399.53,9,0.2,43.15
ORD-1170,2022-05-08,2022-05-09,First Class,Home Office,South,Furniture,Chairs,204.67,7,0.4,-22.64
ORD-1171,2022-12-14,2022-12-15,Second Class,Consumer,Midwest,Furniture,Chairs,229.28,7,0.4,-19.09
ORD-1172,2022-08-19,2022-08-25,First Class,Home Office,Southeast,Office Supplies,Tables,305.14,1,0.1,58.18
ORD-1173,2022-07-09,2022-07-12,Second Class,Consumer,West,Technology,Accessories,303.03,6,0.0,97.33
ORD-1174,2022-08-13,2022-08-18,Standard Class,Home Office,West,Furniture,Tables,52.34,7,0.3,-6.27
ORD-1175,2022-10-10,2022-10-11,First Class,Corporate,West,Technology,Phones,419.14,6,0.2,42.64
ORD-1176,2022-05-01,2022-05-06,First Class,Home Office,Southeast,Furniture,Chairs,105.12,6,0.0,15.3
ORD-1177,2022-04-26,2022-04-27,Second Class,Corporate,Midwest,Furniture,Accessories,367.07,2,0.0,106.42
ORD-1178,2022-08-21,2022-08-23,First Class,Corporate,Midwest,Office Supplies,Accessories,390.88,6,0.1,83.85
ORD-1179,2022-09-16,2022-09-20,Second Class,Home Office,South,Furniture,Binders,363.15,4,0.3,-10.34
ORD-1180,2022-12-25,2022-12-26,Second Class,Consumer,Midwest,Furniture,Phones,297.91,9,0.2,26.59
ORD-1181,2022-07-17,2022-07-22,Second Class,Consumer,South,Office Supplies,Accessories,27.01,1,0.3,-24.05
ORD-1182,2022-05-17,2022-05-19,Second Class,Consumer,Southeast,Technology,Chairs,192.98,8,0.1,24.92
ORD-1183,2022-11-14,2022-11-15,Standard Class,Consumer,West,Furniture,Chairs,310.32,5,0.4,-42.1
ORD-1184,2022-06-14,2022-06-17,Second Class,Consumer,West,Office Supplies,Accessories,205.98,1,0.0,62.81
ORD-1185,2022-08-13,2022-08-17,Same Day,Corporate,West,Furniture,Tables,434.47,4,0.2,46.78
ORD-1186,2022-11-03,2022-11-04,First Class,Consumer,Midwest,Office Supplies,Phones,168.23,1,0.4,-17.38
ORD-1187,2022-08-22,2022-08-24,Same Day,Corporate,South,Technology,Chairs,160.9,6,0.1,28.35
ORD-1188,2022-06-21,2022-06-24,Standard Class,Corporate,South,Technology,Accessories,147.68,2,0.3,-3.79
ORD-1189,2022-06-01,2022-06-07,Same Day,Corporate,Southeast,Office Supplies,Chairs,179.73,5,0.0,61.08
ORD-1190,2022-11-11,2022-11-13,First Class,Home Office,Midwest,Office Supplies,Accessories,287.55,7,0.2,30.88
ORD-1191,2022-06-09,2022-06-11,Same Day,Home Office,Southeast,Office Supplies,Phones,359.37,2,0.4,-39.28
ORD-1192,2022-04-06,2022-04-09,Standard Class,Corporate,South,Technology,Accessories,338.03,6,0.4,-20.87
ORD-1193,2022-08-21,2022-08-23,Second Class,Home Office,South,Furniture,Binders,407.7,6,0.0,141.81
ORD-1194,2022-06-29,2022-07-02,Same Day,Consumer,West,Technology,Accessories,445.24,5,0.3,-12.46
ORD-1195,2022-04-23,2022-04-24,Standard Class,Consumer,Midwest,Office Supplies,Accessories,411.72,5,0.1,87.57
ORD-1196,2022-11-14,2022-11-17,Standard Class,Corporate,South,Office Supplies,Phones,29.09,3,0.3,30.9
ORD-1197,2022-02-21,2022-02-24,First Class,Consumer,West,Technology,Accessories,373.24,2,0.3,2.8
ORD-1198,2022-09-25,2022-09-29,First Class,Corporate,Midwest,Office Supplies,Phones,120.03,7,0.3,1.15
ORD-1199,2022-10-22,2022-10-25,Same Day,Corporate,Southeast,Technology,Binders,83.81,1,0.0,24.59
ORD-1200,2022-04-23,2022-04-26,Second Class,Consumer,Midwest,Office Supplies,Phones,326.47,6,0.0,102.84
ORD-1201,2022-04-11,2022-04-17,Standard Class,Home Office,Midwest,Furniture,Chairs,173.48,6,0.1,42.24
ORD-1202,2022-04-23,2022-04-24,Same Day,Consumer,South,Furniture,Phones,47.42,3,0.3,-12.45
ORD-1203,2022-03-22,2022-03-26,Standard Class,Consumer,South,Office Supplies,Binders,86.06,2,0.0,25.55
ORD-1204,2022-07-06,2022-07-12,Standard Class,Corporate,Midwest,Technology,Paper,20.45,2,0.1,-18.6
ORD-1205,2022-04-23,2022-04-28,Second Class,Corporate,South,Furniture,Accessories,453.55,9,0.1,88.62
ORD-1206,2022-01-02,2022-01-03,Second Class,Corporate,South,Technology,Phones,31.82,5,0.3,-9.03
ORD-1207,2022-05-10,2022-05-11,Same Day,Corporate,South,Office Supplies,Accessories,120.54,7,0.2,15.45
ORD-1208,2022-08-08,2022-08-13,Second Class,Home Office,West,Technology,Tables,219.81,5,0.3,-16.56
ORD-1209,2022-02-23,2022-02-26,Second Class,Home Office,West,Furniture,Chairs,191.15,7,0.2,13.99
ORD-1210,2022-12-09,2022-12-15,Same Day,Home Office,Midwest,Technology,Chairs,457.63,4,0.1,101.19
ORD-1211,2022-08-12,2022-08-14,Second Class,Corporate,South,Technology,Tables,39.34,8,0.0,5.04
ORD-1212,2022-08-13,2022-08-17,First Class,Corporate,West,Office Supplies,Tables,265.86,7,0.4,-45.64
ORD-1213,2022-05-06,2022-05-08,Standard Class,Corporate,Midwest,Office Supplies,Phones,346.63,5,0.1,71.9
ORD-1214,2022-05-10,2022-05-15,Standard Class,Home Office,South,Office Supplies,Tables,467.22,6,0.0,134.3
ORD-1215,2022-02-22,2022-02-23,Standard Class,Corporate,Southeast,Furniture,Paper,317.78,5,0.1,61.7
ORD-1216,2022-06-21,2022-06-22,Standard Class,Consumer,South,Furniture,Accessories,405.8,7,0.3,-7.3
ORD-1217,2022-08-06,2022-08-10,Same Day,Consumer,South,Office Supplies,Accessories,60.19,2,0.2,25.76
ORD-1218,2022-06-09,2022-06-10,Standard Class,Corporate,West,Office Supplies,Binders,205.25,5,0.1,25.47
ORD-1219,2022-07-17,2022-07-18,Standard Class,Consumer,Midwest,Furniture,Tables,199.49,3,0.0,88.18
ORD-1220,2022-09-04,2022-09-08,Standard Class,Consumer,Midwest,Furniture,Tables,445.42,9,0.3,-3.91
ORD-1221,2022-11-20,2022-11-26,Standard Class,Home Office,West,Furniture,Paper,92.66,6,0.4,-7.43
ORD-1222,2022-07-22,2022-07-28,First Class,Corporate,South,Furniture,Chairs,92.91,3,0.3,-5.75
ORD-1223,2022-07-03,2022-07-07,Standard Class,Corporate,Southeast,Office Supplies,Chairs,177.71,7,0.2,11.6
ORD-1224,2022-05-03,2022-05-08,First Class,Home Office,South,Furniture,Accessories,46.14,4,0.3,-7.85
ORD-1225,2022-09-12,2022-09-13,Same Day,Consumer,South,Office Supplies,Accessories,107.58,3,0.4,-4.75
ORD-1226,2022-10-21,2022-10-22,Second Class,Consumer,Southeast,Technology,Phones,483.3,8,0.0,130.88
ORD-1227,2022-10-07,2022-10-12,Standard Class,Corporate,West,Technology,Paper,225.53,4,0.1,48.75
ORD-1228,2022-11-21,2022-11-27,Second Class,Consumer,Midwest,Furniture,Binders,323.37,1,0.2,10.49
ORD-1229,2022-04-08,2022-04-11,Second Class,Home Office,West,Technology,Binders,368.53,6,0.4,-34.12
ORD-1230,2022-07-17,2022-07-20,Same Day,Home Office,West,Technology,Paper,196.14,1,0.2,28.11
ORD-1231,2022-08-28,2022-08-31,Second Class,Corporate,South,Technology,Binders,90.67,5,0.3,-12.75
ORD-1232,2022-05-24,2022-05-30,First Class,Home Office,Midwest,Furniture,Chairs,119.16,7,0.2,18.7
ORD-1233,2022-04-07,2022-04-13,Second Class,Home Office,Midwest,Furniture,Binders,170.37,6,0.4,-16.52
ORD-1234,2022-07-20,2022-07-25,Second Class,Corporate,West,Technology,Binders,325.31,2,0.1,81.05
ORD-1235,2022-05-04,2022-05-05,Second Class,Home Office,Southeast,Office Supplies,Paper,211.17,4,0.1,33.68
ORD-1236,2022-07-06,2022-07-11,Standard Class,Home Office,West,Technology,Paper,23.27,2,0.2,30.49
